,0
0,WC
1,Analytic
2,Clout
3,Authentic
4,Tone
5,WPS
6,Sixltr
7,Dic
8,function
9,pronoun
10,ppron
11,i
12,we
13,you
14,shehe
15,they
16,ipron
17,article
18,prep
19,auxverb
20,adverb
21,conj
22,negate
23,verb
24,adj
25,compare
26,interrog
27,number
28,quant
29,affect
30,posemo
31,negemo
32,anx
33,anger
34,sad
35,social
36,family
37,friend
38,female
39,male
40,cogproc
41,insight
42,cause
43,discrep
44,tentat
45,certain
46,differ
47,percept
48,see
49,hear
50,feel
51,bio
52,body
53,health
54,sexual
55,ingest
56,drives
57,affiliation
58,achieve
59,power
60,reward
61,risk
62,focuspast
63,focuspresent
64,focusfuture
65,relativ
66,motion
67,space
68,time
69,work
70,leisure
71,home
72,money
73,relig
74,death
75,informal
76,swear
77,netspeak
78,assent
79,nonflu
80,filler
81,AllPunc
82,Period
83,Comma
84,Colon
85,SemiC
86,QMark
87,Exclam
88,Dash
89,Quote
90,Apostro
91,Parenth
92,OtherP
